"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"1","Indre By",0,5,2,210,55.695841,12.584821,"E"
"2","Østerbro",5,4,3,210,55.729128,12.573155,"E"
"3","Østerbro",5,7,5,276,55.730549,12.565479,"E"
"4","Østerbro",4,4,2,210,55.702438,12.589469,"E"
"5","Vesterbro-Kongens Enghave",0,4,2,274,55.672986,12.5641,"E"
"6","Vesterbro-Kongens Enghave",4.5,7,3,194,55.663662,12.54389,"E"
"7","Indre By",5,2,1,186,55.684018,12.584513,"E"
"8","Amager Øst",0,6,3,194,55.645423,12.632115,"E"
"9","Nørrebro",4.5,8,3,194,55.697902,12.539615,"E"
"10","Indre By",5,3,1,194,55.696061,12.582108,"E"
"11","Indre By",5,4,2,194,55.685437,12.586095,"E"
"12","Østerbro",0,4,3,194,55.707238,12.58493,"E"
"13","Brønshøj-Husum",0,10,5,194,55.710605,12.509292,"E"
"14","Østerbro",4.5,4,2,194,55.698119,12.582306,"E"
"15","Amager Vest",5,6,4,158,55.635089,12.58428,"E"
"16","Vesterbro-Kongens Enghave",0,7,3,177,55.668581,12.541869,"E"
"17","Amager Vest",0,4,2,160,55.635551,12.573797,"E"
"18","Amager Vest",4.5,4,1,145,55.662776,12.599828,"E"
"19","Valby",0,8,4,162,55.668828,12.487538,"E"
"20","Brønshøj-Husum",0,5,2,162,55.710331,12.508915,"E"
"21","Nørrebro",0,6,2,162,55.699562,12.547583,"E"
"22","Vanløse",4.5,7,4,153,55.695173,12.503281,"E"
"23","Bispebjerg",0,4,2,145,55.702863,12.521153,"E"
"24","Bispebjerg",4.5,6,3,162,55.702114,12.532731,"E"
"25","Bispebjerg",0,4,1,162,55.711085,12.535154,"E"
"26","Østerbro",0,2,1,153,55.708536,12.588708,"E"
"27","Nørrebro",0,2,1,145,55.698455,12.54662,"E"
"28","Indre By",0,5,2,153,55.677188,12.599109,"E"
"29","Indre By",5,6,2,184,55.682052,12.576703,"E"
"30","Østerbro",5,5,3,145,55.708886,12.581448,"E"
"31","Vesterbro-Kongens Enghave",5,4,3,129,55.667092,12.549478,"E"
"32","Amager Øst",0,4,1,137,55.658949,12.614532,"E"
"33","Amager Øst",4.5,4,3,144,55.6584,12.622795,"E"
"34","Amager Øst",4.5,5,2,136,55.656483,12.609874,"E"
"35","Bispebjerg",5,6,2,137,55.704621,12.531385,"E"
"36","Østerbro",0,4,2,137,55.705368,12.582341,"E"
"37","Østerbro",5,5,3,137,55.701207,12.579432,"E"
"38","Østerbro",0,2,1,129,55.707345,12.588822,"E"
"39","Østerbro",0,3,1,140,55.695571,12.573679,"E"
"40","Østerbro",0,4,3,129,55.703831,12.588969,"E"
"41","Indre By",0,6,3,134,55.679215,12.572689,"E"
"42","Amager Øst",4.5,4,2,122,55.659284,12.606707,"E"
"43","Valby",0,5,2,113,55.662431,12.500612,"E"
"44","Brønshøj-Husum",0,5,3,122,55.705229,12.488476,"E"
"45","Amager Vest",4.5,3,1,105,55.669515,12.579308,"E"
"46","Bispebjerg",5,6,3,113,55.70642,12.52133,"E"
"47","Bispebjerg",0,6,4,113,55.723716,12.533176,"E"
"48","Nørrebro",5,4,1,113,55.705441,12.551313,"E"
"49","Østerbro",5,4,1,122,55.710904,12.558473,"E"
"50","Østerbro",0,2,1,105,55.706178,12.579875,"E"
"51","Østerbro",0,3,2,121,55.708013,12.579671,"E"
"52","Østerbro",5,2,1,113,55.700958,12.590431,"E"
"53","Vesterbro-Kongens Enghave",0,4,2,97,55.649322,12.550449,"E"
"54","Valby",0,3,1,89,55.655432,12.5116,"E"
"55","Valby",0,2,2,97,55.646536,12.493172,"E"
"56","Valby",0,3,1,97,55.676651,12.489575,"E"
"57","Nørrebro",5,2,2,102,55.693806,12.538351,"E"
"58","Vesterbro-Kongens Enghave",4.5,2,1,89,55.670523,12.558443,"E"
"59","Østerbro",4.5,2,1,89,55.707404,12.585715,"E"
"60","Bispebjerg",5,2,2,84,55.711441,12.522537,"E"
"61","Nørrebro",5,2,1,97,55.705153,12.550576,"E"
"62","Amager Øst",0,3,1,101,55.663252,12.603464,"E"
"63","Østerbro",0,3,1,89,55.704636,12.580558,"E"
"64","Amager Øst",0,2,1,97,55.654946,12.611536,"E"
"65","Amager Vest",4,4,2,65,55.618743,12.569047,"E"
"66","Valby",4.5,3,1,65,55.673134,12.491244,"E"
"67","Vesterbro-Kongens Enghave",5,2,1,63,55.655891,12.535967,"E"
"68","Indre By",0,2,1,80,55.672585,12.591357,"E"
"69","Amager Vest",0,5,1,73,55.623088,12.587221,"E"
"70","Amager Vest",5,4,2,80,55.636576,12.584479,"E"
"71","Valby",5,4,1,73,55.667678,12.487138,"E"
"72","Vesterbro-Kongens Enghave",4.5,2,1,82,55.665598,12.549675,"E"
"73","Nørrebro",0,2,1,80,55.689882,12.563319,"E"
"74","Brønshøj-Husum",0,3,2,65,55.705214,12.503352,"E"
"75","Østerbro",4.5,3,1,80,55.700609,12.5862,"E"
"76","Østerbro",5,2,1,80,55.710021,12.563157,"E"
"77","Nørrebro",0,2,1,66,55.702509,12.557168,"E"
"78","Brønshøj-Husum",0,3,1,80,55.70744,12.492108,"E"
"79","Amager Øst",4.5,4,2,72,55.662327,12.609052,"E"
"80","Østerbro",5,2,2,73,55.706489,12.583505,"E"
