"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"1","Vesterbro-Kongens Enghave",5,4,2,149,55.668947,12.545576,"E"
"2","Indre By",4.5,2,1,77,55.686294,12.566982,"P"
"3","Vanløse",4.5,4,2,55,55.688772,12.475235,"E"
"4","Nørrebro",NA,2,1,89,55.690006,12.561973,"E"
"5","Valby",5,4,3,85,55.661232,12.519294,"E"
"6","Nørrebro",5,2,1,85,55.694312,12.549857,"E"
"7","Vesterbro-Kongens Enghave",4.5,4,2,111,55.664057,12.550713,"E"
"8","Indre By",NA,2,1,93,55.673964,12.590979,"E"
"9","Indre By",NA,2,1,132,55.696373,12.607964,"P"
"10","Valby",4.5,2,1,57,55.662994,12.501508,"E"
"11","Nørrebro",5,8,2,217,55.688083,12.549197,"E"
"12","Vesterbro-Kongens Enghave",4.5,2,1,82,55.67111,12.545827,"E"
"13","Amager Øst",4.5,4,1,77,55.662998,12.631373,"E"
"14","Vesterbro-Kongens Enghave",5,3,2,124,55.665994,12.547992,"E"
"15","Amager Vest",NA,3,2,72,55.663844,12.597475,"E"
"16","Nørrebro",4.5,4,2,171,55.694664,12.544517,"E"
"17","Amager Øst",5,4,1,69,55.66225,12.620604,"E"
"18","Amager Vest",NA,2,1,76,55.633412,12.575457,"P"
"19","Nørrebro",NA,4,1,77,55.701283,12.553329,"E"
"20","Bispebjerg",NA,2,1,66,55.701879,12.524394,"E"
"21","Vesterbro-Kongens Enghave",5,2,1,100,55.670349,12.55494,"E"
"22","Nørrebro",NA,4,1,139,55.701241,12.549849,"E"
"23","Nørrebro",5,3,1,217,55.68938,12.555064,"E"
"24","Amager Vest",NA,2,1,55,55.657975,12.600714,"E"
"25","Vesterbro-Kongens Enghave",5,3,1,85,55.665779,12.552875,"E"
"26","Amager Vest",NA,6,2,170,55.666529,12.577501,"E"
"27","Østerbro",5,4,2,108,55.708413,12.596737,"E"
"28","Nørrebro",4.5,4,2,132,55.690057,12.553733,"E"
"29","Amager Vest",NA,4,2,124,55.665513,12.594243,"E"
"30","Indre By",5,2,1,77,55.682821,12.582291,"P"
"31","Amager Vest",5,3,1,93,55.658843,12.603071,"E"
"32","Vesterbro-Kongens Enghave",4.5,3,1,73,55.673324,12.555958,"P"
"33","Amager Vest",4,10,3,228,55.664591,12.583668,"E"
"34","Nørrebro",5,2,1,77,55.686313,12.547179,"E"
"35","Indre By",4.5,4,1,77,55.693573,12.579376,"P"
"36","Brønshøj-Husum",NA,4,1,93,55.705051,12.498365,"E"
"37","Amager Vest",NA,3,1,75,55.660081,12.603532,"E"
"38","Østerbro",NA,4,1,93,55.71016,12.5724,"E"
"39","Indre By",NA,3,1,101,55.670428,12.58622,"E"
"40","Amager Vest",3.5,1,1,15,55.65798,12.60221,"S"
"41","Østerbro",NA,2,1,53,55.70501,12.585615,"E"
"42","Nørrebro",NA,2,1,99,55.69467,12.543104,"E"
"43","Østerbro",4,5,2,101,55.705165,12.582525,"E"
"44","Valby",NA,4,1,108,55.648487,12.493159,"E"
"45","Valby",NA,4,2,95,55.671446,12.481956,"E"
"46","Valby",4.5,8,4,140,55.666625,12.480861,"E"
"47","Nørrebro",5,4,2,139,55.701361,12.551436,"E"
"48","Valby",NA,4,2,77,55.663189,12.514197,"E"
"49","Brønshøj-Husum",NA,4,1,124,55.705703,12.494412,"E"
"50","Østerbro",NA,4,1,101,55.701008,12.590198,"E"
"51","Indre By",NA,1,1,124,55.675151,12.567382,"E"
"52","Amager Vest",5,2,1,77,55.660043,12.601192,"P"
"53","Vesterbro-Kongens Enghave",4.5,2,1,55,55.644555,12.550878,"P"
"54","Nørrebro",NA,2,0,63,55.687838,12.546314,"E"
"55","Vesterbro-Kongens Enghave",NA,4,2,93,55.668592,12.550244,"E"
"56","Østerbro",5,4,2,108,55.707522,12.56439,"E"
"57","Nørrebro",NA,2,1,108,55.686069,12.558265,"E"
"58","Vesterbro-Kongens Enghave",NA,2,1,48,55.646389,12.528648,"P"
"59","Nørrebro",5,4,1,77,55.690223,12.540621,"E"
"60","Nørrebro",NA,2,2,73,55.687444,12.549538,"E"
"61","Valby",4.5,2,1,52,55.665881,12.508972,"P"
"62","Nørrebro",4.5,4,3,124,55.688356,12.562753,"E"
"63","Nørrebro",NA,4,2,131,55.689614,12.541834,"E"
"64","Brønshøj-Husum",NA,2,1,62,55.706921,12.486783,"E"
"65","Østerbro",5,3,2,101,55.715352,12.575132,"E"
"66","Nørrebro",NA,2,0,62,55.695941,12.539981,"E"
"67","Vanløse",NA,5,2,69,55.69543,12.477894,"E"
"68","Vesterbro-Kongens Enghave",4.5,6,2,156,55.664911,12.554874,"E"
"69","Østerbro",5,5,2,175,55.697997,12.581404,"E"
"70","Østerbro",5,4,1,133,55.699016,12.576086,"E"
"71","Nørrebro",NA,3,1,77,55.694498,12.552208,"E"
"72","Amager Øst",NA,2,1,69,55.662686,12.606392,"E"
"73","Nørrebro",NA,3,1,92,55.690681,12.553035,"E"
"74","Nørrebro",4.5,5,2,116,55.704049,12.555873,"E"
"75","Indre By",5,5,3,155,55.688965,12.573202,"E"
"76","Vesterbro-Kongens Enghave",5,4,2,138,55.671669,12.547713,"E"
"77","Indre By",NA,1,1,46,55.687713,12.585359,"P"
"78","Vanløse",NA,6,3,87,55.694697,12.500711,"E"
"79","Valby",4.5,6,3,185,55.648235,12.502785,"E"
"80","Bispebjerg",NA,5,3,62,55.696172,12.526975,"E"
"81","Nørrebro",NA,4,2,108,55.689142,12.554336,"E"
"82","Vesterbro-Kongens Enghave",NA,2,1,39,55.671843,12.547715,"P"
"83","Amager Øst",5,2,1,92,55.653987,12.615369,"E"
"84","Østerbro",NA,2,1,42,55.705159,12.589377,"P"
"85","Valby",NA,3,1,81,55.663125,12.513229,"E"
"86","Nørrebro",5,4,1,147,55.692789,12.541406,"E"
"87","Amager Vest",5,6,2,147,55.667527,12.578292,"E"
"88","Nørrebro",NA,4,2,72,55.700904,12.539765,"E"
"89","Vesterbro-Kongens Enghave",NA,4,2,96,55.664912,12.550615,"E"
"90","Østerbro",4.5,2,1,61,55.707376,12.583427,"E"
"91","Amager Øst",4.5,3,1,85,55.662495,12.604068,"E"
"92","Vesterbro-Kongens Enghave",4.5,6,3,108,55.672608,12.549433,"E"
"93","Indre By",4.5,2,2,108,55.672656,12.592726,"E"
"94","Vanløse",NA,4,1,80,55.693816,12.473937,"E"
"95","Vesterbro-Kongens Enghave",4.5,4,1,92,55.668118,12.547818,"E"
"96","Indre By",5,2,2,115,55.678122,12.568886,"E"
"97","Bispebjerg",NA,2,1,54,55.698875,12.530095,"E"
"98","Vesterbro-Kongens Enghave",NA,5,1,105,55.666088,12.544444,"E"
"99","Brønshøj-Husum",NA,5,2,131,55.700534,12.488552,"E"
"100","Indre By",5,3,1,138,55.683175,12.564005,"E"
"101","Vesterbro-Kongens Enghave",5,2,1,131,55.668888,12.546743,"E"
"102","Indre By",NA,5,4,155,55.672901,12.594426,"E"
"103","Østerbro",4.5,2,1,46,55.706731,12.584253,"P"
"104","Nørrebro",5,6,3,139,55.688586,12.558699,"E"
"105","Nørrebro",NA,2,1,107,55.689854,12.542744,"E"
"106","Brønshøj-Husum",NA,6,3,108,55.699857,12.491553,"E"
"107","Nørrebro",NA,4,2,115,55.687726,12.543563,"E"
"108","Bispebjerg",5,6,4,155,55.724498,12.525423,"E"
"109","Vanløse",NA,4,4,108,55.692169,12.516586,"E"
"110","Østerbro",4.5,2,1,38,55.707448,12.587079,"P"
"111","Indre By",NA,6,2,194,55.680435,12.561847,"E"
"112","Amager Vest",NA,5,1,93,55.662912,12.594243,"E"
"113","Nørrebro",NA,2,1,70,55.696695,12.54761,"P"
"114","Vesterbro-Kongens Enghave",NA,3,2,136,55.666312,12.550655,"E"
"115","Vesterbro-Kongens Enghave",5,3,2,116,55.671279,12.553537,"E"
"116","Vesterbro-Kongens Enghave",NA,8,2,202,55.664285,12.547885,"E"
"117","Nørrebro",4,4,2,155,55.69113,12.558664,"E"
"118","Indre By",4.5,4,1,186,55.679323,12.583233,"E"
"119","Indre By",4.5,5,3,464,55.684373,12.566836,"E"
"120","Indre By",NA,3,2,108,55.674364,12.576622,"E"
"121","Valby",5,4,1,44,55.668285,12.509581,"E"
"122","Vanløse",3.5,2,2,70,55.679046,12.488991,"E"
"123","Indre By",5,2,1,69,55.698063,12.58816,"P"
"124","Indre By",5,2,1,132,55.683747,12.565929,"E"
"125","Indre By",5,2,1,65,55.683434,12.587465,"P"
"126","Østerbro",NA,2,1,83,55.704761,12.589444,"E"
"127","Nørrebro",5,2,1,85,55.687195,12.545946,"E"
"128","Østerbro",5,6,4,231,55.699341,12.593729,"E"
"129","Østerbro",NA,4,2,185,55.694718,12.571055,"E"
"130","Amager Øst",NA,5,2,147,55.664476,12.608743,"E"
"131","Indre By",NA,5,2,136,55.673763,12.596828,"E"
"132","Vesterbro-Kongens Enghave",5,2,1,100,55.667794,12.557211,"E"
"133","Østerbro",5,2,1,54,55.698503,12.5804,"P"
"134","Vesterbro-Kongens Enghave",NA,2,1,62,55.672892,12.563256,"P"
"135","Nørrebro",4,2,1,82,55.685813,12.553697,"E"
"136","Indre By",4.5,2,1,107,55.678829,12.574902,"P"
"137","Østerbro",NA,2,1,58,55.700153,12.578109,"P"
"138","Bispebjerg",NA,3,1,70,55.703549,12.52533,"E"
"139","Vesterbro-Kongens Enghave",NA,5,3,194,55.647117,12.555643,"E"
"140","Indre By",5,2,1,93,55.676507,12.596933,"P"
"141","Indre By",5,1,1,77,55.686744,12.567678,"P"
"142","Valby",NA,4,3,155,55.665486,12.521718,"E"
"143","Amager Vest",5,2,1,65,55.66366,12.600547,"E"
"144","Vesterbro-Kongens Enghave",NA,2,1,73,55.667977,12.547438,"E"
"145","Vesterbro-Kongens Enghave",5,4,1,101,55.67076,12.55284,"E"
"146","Vesterbro-Kongens Enghave",4.5,4,1,139,55.665484,12.546056,"E"
"147","Vesterbro-Kongens Enghave",5,2,1,101,55.665624,12.547965,"E"
"148","Brønshøj-Husum",NA,8,4,124,55.70188,12.499809,"E"
"149","Nørrebro",5,2,1,100,55.696421,12.544433,"E"
"150","Indre By",4.5,2,1,85,55.696781,12.611864,"P"
"151","Vesterbro-Kongens Enghave",NA,2,1,85,55.665916,12.54704,"E"
"152","Nørrebro",4.5,4,2,77,55.692684,12.544494,"E"
"153","Nørrebro",4.5,2,1,97,55.694633,12.544021,"E"
"154","Brønshøj-Husum",NA,7,4,124,55.710408,12.511224,"E"
"155","Nørrebro",5,2,1,92,55.692489,12.542974,"E"
"156","Indre By",NA,4,2,124,55.672973,12.592025,"E"
"157","Vesterbro-Kongens Enghave",5,3,1,160,55.67186,12.561699,"E"
"158","Indre By",NA,4,2,185,55.695088,12.58796,"E"
"159","Nørrebro",NA,4,1,77,55.689981,12.540888,"E"
"160","Amager Vest",4.5,2,1,52,55.661665,12.597193,"P"
"161","Nørrebro",4.5,4,1,93,55.693403,12.54422,"E"
"162","Vanløse",NA,5,2,85,55.699719,12.519341,"E"
"163","Nørrebro",5,4,1,146,55.683864,12.556647,"E"
"164","Nørrebro",NA,4,1,77,55.697523,12.547333,"E"
