"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"1","Nørrebro",5,2,1,31,55.686052,12.549453,"S"
"2","Nørrebro",4,8,1,24,55.695156,12.539414,"S"
"3","Indre By",4,6,1,30,55.671914,12.576299,"S"
"4","Nørrebro",0,2,1,26,55.6958,12.545084,"S"
"5","Amager Vest",5,1,1,40,55.66265,12.598729,"S"
"6","Amager Øst",5,3,1,29,55.664107,12.604952,"S"
"7","Vanløse",0,2,1,27,55.694843,12.492348,"S"
"8","Østerbro",4.5,1,1,23,55.708415,12.563181,"S"
"9","Vesterbro-Kongens Enghave",0,1,1,33,55.672094,12.551099,"S"
"10","Amager Øst",4.5,2,1,29,55.659768,12.609668,"S"
"11","Indre By",0,1,1,36,55.681448,12.582024,"S"
"12","Nørrebro",0,2,1,28,55.702401,12.541056,"S"
"13","Østerbro",5,1,1,31,55.706572,12.583516,"S"
"14","Brønshøj-Husum",4.5,2,1,31,55.715404,12.478687,"S"
"15","Amager Øst",4,2,1,37,55.664355,12.608494,"S"
"16","Nørrebro",5,1,1,23,55.696618,12.543831,"S"
"17","Nørrebro",5,1,1,27,55.694368,12.540646,"S"
"18","Amager Øst",5,8,4,543,55.654112,12.639287,"E"
"19","Vesterbro-Kongens Enghave",0,7,4,178,55.672971,12.54806,"E"
"20","Vesterbro-Kongens Enghave",0,8,4,310,55.673318,12.557447,"E"
"21","Østerbro",0,6,2,156,55.693986,12.571022,"E"
"22","Bispebjerg",0,6,4,108,55.723716,12.533176,"E"
"23","Amager Vest",0,6,3,279,55.639122,12.603014,"E"
"24","Amager Øst",0,6,2,217,55.65591,12.623879,"E"
"25","Indre By",0,6,3,230,55.698096,12.588779,"E"
"26","Amager Øst",0,6,3,202,55.656898,12.634361,"E"
"27","Vesterbro-Kongens Enghave",3.5,8,4,186,55.664434,12.540805,"E"
"28","Østerbro",0,5,1,204,55.728471,12.569686,"E"
"29","Bispebjerg",0,5,1,93,55.700697,12.536461,"E"
"30","Bispebjerg",0,7,5,93,55.709539,12.517891,"E"
"31","Nørrebro",0,4,2,543,55.689518,12.559123,"E"
"32","Amager Vest",4.5,8,4,387,55.664328,12.575015,"E"
"33","Amager Øst",0,8,3,403,55.651025,12.627056,"E"
"34","Amager Øst",0,8,3,188,55.641594,12.626351,"E"
"35","Brønshøj-Husum",5,4,2,124,55.70469,12.508259,"E"
"36","Østerbro",5,4,2,101,55.703713,12.588341,"E"
"37","Østerbro",0,4,2,93,55.702426,12.58439,"E"
"38","Amager Øst",4.5,4,2,97,55.662568,12.630182,"E"
"39","Nørrebro",0,4,1,101,55.705171,12.542222,"E"
"40","Vesterbro-Kongens Enghave",0,5,2,88,55.656763,12.549745,"E"
"41","Indre By",0,7,4,697,55.680288,12.602841,"E"
"42","Indre By",5,3,1,567,55.684306,12.564363,"E"
"43","Indre By",5,8,3,369,55.673485,12.574544,"E"
"44","Amager Øst",0,6,2,481,55.662478,12.603247,"E"
"45","Amager Øst",0,8,4,283,55.65884,12.633692,"E"
"46","Østerbro",0,6,4,231,55.723037,12.57615,"E"
"47","Bispebjerg",0,6,3,217,55.726147,12.539147,"E"
"48","Indre By",0,4,1,279,55.682914,12.583974,"E"
"49","Valby",5,5,4,194,55.668148,12.509644,"E"
"50","Amager Øst",4.5,8,4,186,55.657741,12.633127,"E"
"51","Vanløse",5,8,3,186,55.695832,12.492323,"E"
"52","Amager Øst",0,7,3,152,55.660967,12.604572,"E"
"53","Amager Øst",0,6,2,132,55.663581,12.601684,"E"
"54","Østerbro",0,3,1,101,55.707935,12.596134,"E"
"55","Bispebjerg",0,4,2,77,55.713237,12.536524,"E"
"56","Vesterbro-Kongens Enghave",0,4,2,77,55.670625,12.559383,"E"
"57","Bispebjerg",0,3,1,70,55.697332,12.533617,"E"
"58","Nørrebro",5,5,1,77,55.701874,12.549055,"E"
"59","Vesterbro-Kongens Enghave",0,3,1,65,55.651638,12.535298,"E"
"60","Nørrebro",0,3,1,71,55.687511,12.552846,"E"
"61","Amager Vest",4.5,3,1,55,55.638503,12.590574,"E"
"62","Vanløse",0,3,1,62,55.692938,12.507749,"E"
"63","Amager Øst",0,6,3,46,55.645319,12.625643,"E"
"64","Østerbro",4.5,3,1,62,55.713152,12.571204,"E"
"65","Vanløse",0,4,1,62,55.69736,12.516971,"E"
"66","Indre By",5,6,3,496,55.679892,12.576542,"E"
"67","Indre By",4.5,6,2,325,55.679198,12.593621,"E"
"68","Amager Vest",0,6,2,310,55.634157,12.576496,"E"
"69","Amager Vest",0,6,3,403,55.631832,12.571901,"E"
"70","Indre By",0,2,1,310,55.682674,12.583501,"E"
"71","Indre By",0,3,2,356,55.673341,12.575735,"E"
"72","Indre By",0,8,4,310,55.687051,12.562592,"E"
"73","Nørrebro",4.5,8,3,310,55.695132,12.54898,"E"
"74","Indre By",5,3,1,310,55.686924,12.567829,"E"
"75","Amager Vest",0,9,3,310,55.620306,12.574517,"E"
"76","Amager Øst",0,5,3,310,55.661498,12.632132,"E"
"77","Indre By",0,6,2,457,55.676548,12.579821,"E"
"78","Vanløse",0,9,5,217,55.689795,12.473356,"E"
"79","Indre By",0,4,3,295,55.671883,12.590526,"E"
"80","Indre By",5,8,3,248,55.686744,12.612705,"E"
"81","Indre By",5,3,2,238,55.686906,12.582532,"E"
"82","Amager Vest",0,10,6,233,55.653984,12.609558,"E"
"83","Amager Øst",0,7,4,233,55.647679,12.628187,"E"
"84","Amager Øst",0,7,3,233,55.646721,12.633668,"E"
"85","Amager Øst",0,8,4,217,55.659044,12.62808,"E"
"86","Amager Øst",4.5,5,3,217,55.656667,12.630826,"E"
"87","Amager Øst",5,3,2,217,55.658077,12.632312,"E"
"88","Vanløse",0,8,5,271,55.690558,12.499771,"E"
"89","Indre By",0,2,1,279,55.684656,12.586374,"E"
"90","Indre By",4.5,6,3,233,55.672113,12.593767,"E"
"91","Østerbro",4.5,7,3,219,55.710832,12.556964,"E"
"92","Indre By",0,6,2,230,55.672765,12.592639,"E"
"93","Østerbro",5,5,3,207,55.713191,12.574973,"E"
"94","Nørrebro",0,5,2,217,55.688883,12.563924,"E"
"95","Østerbro",4.5,5,6,217,55.716657,12.574216,"E"
"96","Østerbro",0,4,1,233,55.706584,12.571702,"E"
"97","Østerbro",0,4,3,231,55.713663,12.576509,"E"
"98","Østerbro",0,7,5,248,55.713092,12.576649,"E"
"99","Østerbro",5,7,5,266,55.730549,12.565479,"E"
"100","Østerbro",0,6,3,233,55.725584,12.57327,"E"
"101","Amager Øst",5,5,2,231,55.643297,12.624717,"E"
"102","Amager Øst",5,6,3,231,55.646366,12.625366,"E"
"103","Indre By",0,3,1,233,55.670782,12.590516,"E"
"104","Vesterbro-Kongens Enghave",5,4,2,186,55.668014,12.547403,"E"
"105","Vesterbro-Kongens Enghave",0,4,2,186,55.666253,12.551556,"E"
"106","Vesterbro-Kongens Enghave",5,2,2,186,55.667809,12.555353,"E"
"107","Nørrebro",5,6,3,202,55.69647,12.551364,"E"
"108","Indre By",5,4,2,186,55.679885,12.575355,"E"
"109","Indre By",4.5,4,1,201,55.68744,12.588917,"E"
"110","Amager Vest",0,7,3,186,55.658879,12.606519,"E"
"111","Amager Øst",5,4,3,186,55.654495,12.631245,"E"
"112","Amager Øst",0,6,3,186,55.641695,12.618687,"E"
