"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"1","Nørrebro",0,4,2,515,55.689518,12.559123,"E"
"2","Nørrebro",0,4,2,588,55.690008,12.562052,"E"
"3","Indre By",5,4,2,585,55.681642,12.563884,"E"
"4","Indre By",0,6,2,588,55.679178,12.563259,"E"
"5","Indre By",5,8,5,662,55.682621,12.569166,"E"
"6","Indre By",0,5,1,721,55.683064,12.573788,"E"
"7","Indre By",0,6,3,721,55.685463,12.59465,"E"
"8","Indre By",0,7,4,661,55.680288,12.602841,"E"
"9","Indre By",4.5,7,3,632,55.69222,12.585724,"E"
"10","Indre By",3.5,11,5,529,55.681617,12.583572,"E"
"11","Indre By",5,8,4,588,55.682755,12.590932,"E"
"12","Amager Vest",4.5,4,2,525,55.669076,12.580473,"E"
"13","Østerbro",0,6,4,574,55.701055,12.583184,"E"
"14","Indre By",5,10,5,544,55.687106,12.594592,"E"
"15","Indre By",4.5,7,3,559,55.670854,12.590801,"E"
"16","Amager Vest",0,6,3,662,55.632686,12.57267,"E"
"17","Indre By",4,12,6,662,55.679996,12.564202,"E"
"18","Indre By",5,6,4,662,55.680196,12.588841,"E"
"19","Indre By",5,4,2,588,55.676338,12.570778,"E"
"20","Indre By",0,12,4,588,55.677635,12.571164,"E"
"21","Amager Vest",5,8,3,529,55.669093,12.578849,"E"
"22","Brønshøj-Husum",4.5,7,3,338,55.707794,12.460995,"E"
"23","Vanløse",4.5,6,3,361,55.691405,12.488861,"E"
"24","Brønshøj-Husum",5,13,7,353,55.711484,12.510032,"E"
"25","Valby",0,6,3,317,55.675755,12.491171,"E"
"26","Østerbro",0,5,4,515,55.726661,12.572493,"E"
"27","Valby",5,10,4,407,55.664567,12.49643,"E"
"28","Østerbro",5,5,2,368,55.706131,12.576206,"E"
"29","Nørrebro",5,4,2,389,55.696086,12.556274,"E"
"30","Amager Øst",5,8,4,515,55.654112,12.639287,"E"
"31","Indre By",0,8,4,412,55.696056,12.608275,"E"
"32","Østerbro",5,9,5,508,55.692774,12.569807,"E"
"33","Indre By",0,6,5,323,55.696061,12.584929,"E"
"34","Vesterbro-Kongens Enghave",5,4,2,426,55.671261,12.550337,"E"
"35","Vesterbro-Kongens Enghave",5,6,3,361,55.665481,12.552667,"E"
"36","Amager Vest",0,4,3,464,55.654151,12.564759,"E"
"37","Indre By",4.5,4,2,368,55.690384,12.570297,"E"
"38","Indre By",5,5,3,491,55.690702,12.571914,"E"
"39","Indre By",5,6,3,412,55.691455,12.576744,"E"
"40","Vesterbro-Kongens Enghave",0,6,4,368,55.671982,12.554264,"E"
"41","Amager Øst",0,10,4,319,55.658139,12.624347,"E"
"42","Vesterbro-Kongens Enghave",0,10,4,441,55.672033,12.555927,"E"
"43","Indre By",0,6,4,441,55.686116,12.566535,"E"
"44","Vesterbro-Kongens Enghave",5,7,4,441,55.664717,12.557844,"E"
"45","Indre By",5,6,3,383,55.685599,12.566717,"E"
"46","Indre By",5,4,2,380,55.685722,12.567493,"E"
"47","Indre By",5,8,4,441,55.685089,12.566526,"E"
"48","Vesterbro-Kongens Enghave",0,6,3,441,55.672177,12.557399,"E"
"49","Indre By",4.5,5,2,323,55.685218,12.568432,"E"
"50","Amager Øst",5,9,4,382,55.657647,12.618778,"E"
"51","Vesterbro-Kongens Enghave",5,5,3,351,55.673015,12.559363,"E"
"52","Indre By",5,8,4,471,55.679447,12.56341,"E"
"53","Amager Øst",5,10,5,323,55.658511,12.618163,"E"
"54","Indre By",0,3,2,322,55.68962,12.58935,"E"
"55","Vesterbro-Kongens Enghave",4.5,4,2,331,55.671259,12.562301,"E"
"56","Vesterbro-Kongens Enghave",0,6,3,426,55.672131,12.562468,"E"
"57","Indre By",0,6,3,368,55.688771,12.590789,"E"
"58","Amager Vest",0,6,3,411,55.655427,12.605551,"E"
"59","Indre By",4.5,6,3,515,55.683654,12.614841,"E"
"60","Indre By",5,9,4,485,55.680037,12.567966,"E"
"61","Indre By",5,5,2,368,55.682584,12.572487,"E"
"62","Amager Øst",0,12,4,368,55.660881,12.605405,"E"
"63","Indre By",5,10,4,373,55.676773,12.574775,"E"
"64","Indre By",3.5,6,3,353,55.682896,12.588183,"E"
"65","Indre By",5,4,2,388,55.67947,12.579937,"E"
"66","Indre By",4.5,8,4,368,55.679826,12.604246,"E"
"67","Amager Øst",0,6,4,353,55.640517,12.622061,"E"
"68","Nørrebro",5,5,3,353,55.694749,12.548779,"E"
"69","Indre By",4.5,6,2,338,55.675239,12.573334,"E"
"70","Indre By",4.5,6,3,314,55.682797,12.57818,"E"
"71","Indre By",5,6,3,353,55.683723,12.563245,"E"
"72","Østerbro",0,8,4,419,55.699958,12.575417,"E"
"73","Amager Øst",5,8,5,367,55.655643,12.63359,"E"
"74","Valby",4.5,13,6,383,55.662911,12.4788,"E"
"75","Indre By",0,6,3,515,55.677876,12.590322,"E"
"76","Nørrebro",0,7,3,368,55.687256,12.559484,"E"
"77","Brønshøj-Husum",5,11,6,492,55.702176,12.501628,"E"
"78","Indre By",5,4,0,352,55.685186,12.589828,"E"
"79","Indre By",0,6,3,389,55.69458,12.591085,"E"
"80","Amager Vest",0,7,3,312,55.659361,12.589878,"E"
"81","Indre By",5,12,4,456,55.677562,12.567291,"E"
"82","Indre By",5,4,2,353,55.683796,12.590525,"E"
"83","Indre By",5,4,2,368,55.677215,12.571558,"E"
"84","Valby",0,3,2,464,55.6605,12.517905,"E"
"85","Østerbro",0,7,3,367,55.697011,12.576436,"E"
"86","Indre By",0,8,4,379,55.688949,12.591823,"E"
"87","Indre By",5,5,2,322,55.678809,12.581086,"E"
"88","Amager Vest",5,4,2,407,55.667016,12.583828,"E"
"89","Indre By",5,8,4,441,55.683235,12.573326,"E"
"90","Indre By",5,6,3,323,55.683728,12.576587,"E"
"91","Nørrebro",0,7,3,346,55.691885,12.560124,"E"
"92","Amager Vest",0,4,1,382,55.65933,12.569701,"E"
"93","Østerbro",4.5,8,3,338,55.698998,12.593516,"E"
"94","Bispebjerg",5,10,4,337,55.70617,12.528019,"E"
"95","Amager Øst",5,6,2,368,55.663202,12.630684,"E"
"96","Indre By",4.5,10,5,515,55.672594,12.575977,"E"
"97","Indre By",0,5,3,368,55.685576,12.614562,"E"
"98","Indre By",0,6,2,515,55.687506,12.590848,"E"
"99","Indre By",5,6,3,368,55.677549,12.566302,"E"
"100","Amager Vest",5,5,2,368,55.661372,12.58871,"E"
"101","Indre By",0,6,3,515,55.690828,12.579855,"E"
"102","Indre By",4.5,8,3,441,55.685668,12.589089,"E"
"103","Nørrebro",5,6,3,331,55.696896,12.545311,"E"
"104","Østerbro",0,2,1,503,55.697191,12.594322,"E"
