"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"1","Vesterbro-Kongens Enghave",NA,2,1,77,55.666071,12.553618,"P"
"2","Valby",NA,4,2,93,55.662559,12.502956,"E"
"3","Amager Vest",5,3,1,84,55.668182,12.595627,"E"
"4","Vanløse",4.5,2,1,62,55.691622,12.486284,"E"
"5","Nørrebro",4.5,5,2,145,55.694051,12.543248,"E"
"6","Valby",NA,6,3,103,55.669787,12.48812,"E"
"7","Amager Vest",NA,2,1,93,55.660534,12.599836,"E"
"8","Amager Vest",5,5,2,139,55.666229,12.581721,"E"
"9","Nørrebro",4,2,1,140,55.684879,12.557382,"E"
"10","Vesterbro-Kongens Enghave",5,3,1,88,55.663173,12.545829,"E"
"11","Amager Vest",5,2,1,77,55.663735,12.587256,"P"
"12","Indre By",5,2,1,99,55.680396,12.584213,"P"
"13","Nørrebro",5,3,1,108,55.695751,12.545796,"E"
"14","Indre By",4.5,4,2,296,55.679941,12.590282,"E"
"15","Valby",NA,4,2,93,55.666344,12.51333,"E"
"16","Amager Vest",4.5,4,1,163,55.658827,12.598211,"E"
"17","Vesterbro-Kongens Enghave",NA,6,3,280,55.669484,12.547817,"E"
"18","Vesterbro-Kongens Enghave",4.5,3,1,156,55.65354,12.543095,"E"
"19","Vesterbro-Kongens Enghave",4.5,4,3,101,55.665491,12.548176,"E"
"20","Amager Øst",5,3,1,140,55.665744,12.608248,"E"
"21","Amager Vest",5,4,2,94,55.663924,12.572212,"E"
"22","Østerbro",NA,2,1,62,55.704622,12.583728,"E"
"23","Amager Vest",4.5,2,1,53,55.656285,12.608304,"P"
"24","Valby",4.5,4,1,94,55.66643,12.520049,"E"
"25","Brønshøj-Husum",NA,4,0,139,55.709363,12.508936,"E"
"26","Østerbro",NA,2,1,171,55.695393,12.596453,"E"
"27","Valby",4.5,2,1,62,55.668014,12.514921,"E"
"28","Nørrebro",5,2,1,77,55.689815,12.554491,"P"
"29","Valby",5,2,1,62,55.665393,12.499231,"P"
"30","Amager Vest",NA,3,1,140,55.666201,12.581934,"E"
"31","Brønshøj-Husum",NA,4,3,77,55.704278,12.50818,"E"
"32","Nørrebro",NA,4,1,93,55.702684,12.543305,"E"
"33","Indre By",5,2,1,93,55.675441,12.597321,"E"
"34","Vesterbro-Kongens Enghave",NA,4,2,108,55.665916,12.553056,"E"
"35","Østerbro",4.5,5,2,125,55.704842,12.583207,"E"
"36","Vesterbro-Kongens Enghave",4.5,2,1,85,55.659564,12.534134,"E"
"37","Vesterbro-Kongens Enghave",NA,2,1,56,55.666977,12.556024,"P"
"38","Vesterbro-Kongens Enghave",NA,3,2,94,55.646459,12.550681,"E"
"39","Vesterbro-Kongens Enghave",5,8,4,371,55.67164,12.551497,"E"
"40","Bispebjerg",NA,2,1,77,55.701972,12.526968,"E"
"41","Nørrebro",5,2,1,156,55.685034,12.55647,"E"
"42","Vanløse",NA,2,1,62,55.690049,12.496731,"E"
"43","Vesterbro-Kongens Enghave",5,2,1,101,55.668588,12.540742,"E"
"44","Bispebjerg",NA,2,1,74,55.699922,12.522058,"E"
"45","Bispebjerg",NA,2,1,39,55.70499,12.527324,"P"
"46","Amager Vest",3.5,5,1,55,55.657624,12.602712,"P"
"47","Nørrebro",5,4,2,93,55.705951,12.550806,"E"
"48","Amager Vest",4.5,2,1,108,55.663277,12.584004,"E"
"49","Valby",4.5,6,2,101,55.667733,12.502828,"E"
"50","Nørrebro",5,2,1,92,55.687835,12.548297,"E"
"51","Vanløse",NA,2,0,50,55.692446,12.500636,"E"
"52","Østerbro",5,2,1,85,55.70842,12.585419,"E"
"53","Indre By",5,4,1,210,55.68609,12.587364,"E"
"54","Vesterbro-Kongens Enghave",NA,3,1,70,55.658086,12.538242,"E"
"55","Østerbro",4.5,4,0,71,55.707758,12.575171,"E"
"56","Nørrebro",5,2,1,62,55.689437,12.558182,"P"
"57","Nørrebro",5,2,1,55,55.701796,12.542009,"P"
"58","Østerbro",NA,3,1,76,55.714245,12.573085,"E"
"59","Valby",4.5,6,3,186,55.648235,12.502785,"E"
"60","Vanløse",5,3,1,65,55.683916,12.489563,"E"
"61","Indre By",5,2,1,85,55.680598,12.591141,"P"
"62","Amager Vest",4.5,2,1,77,55.664094,12.597948,"E"
"63","Vesterbro-Kongens Enghave",5,2,0,78,55.650746,12.55134,"E"
"64","Amager Øst",NA,2,1,77,55.659924,12.623629,"P"
"65","Valby",4.5,6,2,83,55.66694,12.491171,"E"
"66","Indre By",5,2,1,116,55.680499,12.601801,"P"
"67","Amager Vest",NA,4,2,67,55.662907,12.598845,"E"
"68","Vesterbro-Kongens Enghave",NA,2,1,77,55.666342,12.54273,"E"
"69","Indre By",NA,2,1,152,55.679859,12.592355,"E"
"70","Vesterbro-Kongens Enghave",NA,8,2,156,55.664285,12.547885,"E"
"71","Nørrebro",5,2,1,62,55.687506,12.548646,"P"
"72","Vesterbro-Kongens Enghave",4,1,1,21,55.664501,12.541673,"S"
"73","Amager Vest",5,3,1,109,55.661667,12.601223,"E"
"74","Vesterbro-Kongens Enghave",5,5,3,109,55.650706,12.548221,"E"
"75","Vesterbro-Kongens Enghave",NA,4,2,140,55.671869,12.554769,"E"
"76","Østerbro",NA,4,1,62,55.708568,12.585179,"P"
"77","Brønshøj-Husum",NA,7,3,124,55.702187,12.48895,"E"
"78","Indre By",NA,1,1,31,55.686077,12.585373,"P"
"79","Indre By",NA,4,2,185,55.669042,12.59365,"E"
"80","Nørrebro",5,2,1,148,55.691351,12.560915,"E"
"81","Vesterbro-Kongens Enghave",5,2,1,144,55.666535,12.554933,"E"
"82","Valby",5,6,2,127,55.664967,12.502008,"E"
"83","Indre By",NA,6,3,156,55.683608,12.610414,"E"
"84","Vanløse",5,3,1,80,55.692803,12.498065,"E"
"85","Amager Vest",NA,4,3,171,55.655385,12.567245,"E"
"86","Nørrebro",5,2,1,39,55.689983,12.554808,"P"
"87","Nørrebro",4.5,4,2,170,55.686343,12.561494,"E"
"88","Valby",NA,2,1,87,55.663251,12.503577,"E"
"89","Østerbro",NA,4,2,125,55.709087,12.569281,"E"
"90","Vesterbro-Kongens Enghave",NA,2,1,125,55.669499,12.54394,"E"
"91","Amager Vest",NA,6,2,132,55.633657,12.575433,"E"
"92","Bispebjerg",NA,2,1,49,55.704569,12.525059,"P"
"93","Amager Øst",5,1,1,58,55.666114,12.617588,"P"
"94","Indre By",4.5,2,1,89,55.670502,12.592847,"P"
"95","Indre By",NA,4,2,175,55.681622,12.573817,"E"
"96","Bispebjerg",NA,2,1,93,55.700872,12.526405,"E"
"97","Indre By",5,5,3,186,55.682055,12.563693,"E"
"98","Vesterbro-Kongens Enghave",5,3,2,116,55.668741,12.553637,"E"
"99","Valby",5,5,3,156,55.667271,12.481646,"E"
"100","Østerbro",NA,4,1,124,55.7101,12.579288,"E"
"101","Østerbro",4.5,6,3,144,55.706939,12.596745,"E"
"102","Vesterbro-Kongens Enghave",NA,2,1,113,55.66764,12.542029,"E"
"103","Nørrebro",4.5,2,1,78,55.695468,12.538639,"P"
"104","Valby",NA,4,3,125,55.667218,12.511958,"E"
"105","Bispebjerg",4.5,3,2,85,55.726455,12.524655,"E"
"106","Brønshøj-Husum",4.5,4,2,77,55.704602,12.506161,"E"
"107","Vanløse",4.5,2,1,70,55.691275,12.485964,"E"
"108","Amager Vest",5,3,1,85,55.654723,12.601811,"E"
"109","Amager Vest",NA,2,1,85,55.662051,12.585386,"P"
"110","Nørrebro",4.5,2,1,40,55.702406,12.551644,"P"
"111","Brønshøj-Husum",NA,2,2,111,55.705521,12.504842,"E"
"112","Valby",NA,4,3,145,55.662501,12.49441,"E"
"113","Nørrebro",NA,2,1,41,55.695983,12.547616,"E"
"114","Indre By",4,3,1,95,55.686402,12.579244,"E"
"115","Vesterbro-Kongens Enghave",4.5,6,3,156,55.652419,12.536305,"E"
"116","Nørrebro",NA,2,1,49,55.694543,12.550177,"P"
"117","Amager Vest",4.5,4,1,124,55.662856,12.601208,"E"
"118","Nørrebro",5,4,2,277,55.701694,12.551912,"E"
"119","Vesterbro-Kongens Enghave",5,4,2,156,55.667039,12.556105,"E"
"120","Østerbro",5,2,1,46,55.707235,12.583433,"P"
"121","Vanløse",NA,5,2,125,55.690323,12.499153,"E"
"122","Nørrebro",4.5,2,1,50,55.701311,12.539592,"P"
"123","Indre By",NA,2,1,35,55.684089,12.616472,"P"
"124","Vesterbro-Kongens Enghave",NA,3,3,82,55.650959,12.5433,"E"
"125","Valby",NA,4,3,93,55.660821,12.521754,"E"
"126","Vesterbro-Kongens Enghave",NA,4,1,116,55.671364,12.545218,"E"
"127","Brønshøj-Husum",NA,4,1,93,55.705307,12.494815,"E"
"128","Amager Vest",NA,3,1,104,55.666165,12.595558,"E"
"129","Vesterbro-Kongens Enghave",5,2,1,109,55.663568,12.545003,"E"
"130","Vesterbro-Kongens Enghave",4.5,4,2,116,55.671313,12.544085,"E"
"131","Vanløse",NA,6,4,144,55.678294,12.480688,"E"
"132","Indre By",NA,6,3,217,55.692393,12.575682,"E"
"133","Vesterbro-Kongens Enghave",NA,4,1,101,55.667582,12.548797,"E"
"134","Brønshøj-Husum",NA,2,1,31,55.721703,12.482584,"P"
"135","Amager Vest",5,1,1,50,55.636925,12.591318,"P"
"136","Vesterbro-Kongens Enghave",NA,3,1,179,55.646489,12.552038,"E"
"137","Nørrebro",5,2,1,132,55.696362,12.542464,"E"
"138","Østerbro",5,2,1,93,55.697973,12.579913,"P"
"139","Valby",NA,5,2,108,55.665794,12.519578,"E"
"140","Valby",5,4,2,77,55.672679,12.490196,"E"
