"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"1","Vesterbro-Kongens Enghave",4,4,1,52,55.671186,12.548267,"S"
"2","Østerbro",4.5,4,1,43,55.708403,12.563073,"S"
"3","Brønshøj-Husum",4,4,1,35,55.719697,12.474984,"S"
"4","Vesterbro-Kongens Enghave",0,4,1,242,55.673086,12.554858,"S"
"5","Bispebjerg",0,2,1,131,55.703851,12.524897,"S"
"6","Indre By",0,5,1,117,55.681343,12.583337,"S"
"7","Amager Vest",0,4,1,102,55.660497,12.604627,"S"
"8","Amager Vest",0,2,1,100,55.650305,12.611282,"S"
"9","Amager Vest",4.5,2,1,99,55.653784,12.563175,"S"
"10","Amager Vest",0,2,1,96,55.617897,12.572414,"S"
"11","Indre By",0,6,1,89,55.673855,12.573708,"S"
"12","Brønshøj-Husum",0,3,1,66,55.705616,12.510301,"S"
"13","Indre By",0,1,1,77,55.685823,12.587507,"S"
"14","Amager Øst",0,3,1,72,55.66882,12.600052,"S"
"15","Nørrebro",0,5,1,79,55.694856,12.536616,"S"
"16","Nørrebro",0,4,1,66,55.695048,12.540888,"S"
"17","Vanløse",3.5,2,1,47,55.698651,12.523346,"S"
"18","Amager Vest",0,4,1,52,55.623245,12.585856,"S"
"19","Brønshøj-Husum",4.5,2,1,49,55.714648,12.460488,"S"
"20","Nørrebro",5,1,1,52,55.694764,12.546073,"S"
"21","Nørrebro",5,2,1,48,55.685038,12.551979,"S"
"22","Vanløse",0,1,1,44,55.690596,12.503066,"S"
"23","Valby",0,2,1,59,55.656316,12.513838,"S"
"24","Vesterbro-Kongens Enghave",5,3,1,52,55.646012,12.535057,"S"
"25","Indre By",0,2,1,53,55.679568,12.590487,"S"
"26","Amager Vest",4.5,2,1,42,55.667396,12.596539,"S"
"27","Amager Vest",4.5,1,1,54,55.649558,12.609135,"S"
"28","Nørrebro",4.5,2,1,45,55.68223,12.555549,"S"
"29","Vesterbro-Kongens Enghave",4.5,2,1,43,55.651255,12.555323,"S"
"30","Vesterbro-Kongens Enghave",0,4,1,26,55.670308,12.549589,"S"
"31","Vesterbro-Kongens Enghave",4,2,1,30,55.638349,12.542205,"S"
"32","Vanløse",4.5,2,1,36,55.692104,12.475123,"S"
"33","Nørrebro",0,1,1,24,55.696585,12.544963,"S"
"34","Nørrebro",0,1,1,22,55.696081,12.542379,"S"
"35","Nørrebro",0,1,1,22,55.697929,12.544093,"S"
"36","Nørrebro",0,1,1,22,55.695407,12.542498,"S"
"37","Nørrebro",0,1,1,22,55.698209,12.54447,"S"
"38","Nørrebro",0,1,1,22,55.69725,12.544159,"S"
"39","Nørrebro",4,2,1,22,55.698365,12.545374,"S"
"40","Nørrebro",3.5,1,1,22,55.69765,12.54269,"S"
"41","Nørrebro",4,2,1,22,55.695456,12.543835,"S"
"42","Nørrebro",4.5,2,1,24,55.698093,12.545587,"S"
"43","Nørrebro",4.5,2,1,24,55.699336,12.544689,"S"
"44","Nørrebro",3.5,2,1,24,55.696753,12.545297,"S"
"45","Vesterbro-Kongens Enghave",4.5,4,1,26,55.670603,12.548018,"S"
"46","Nørrebro",4.5,2,1,23,55.697249,12.542888,"S"
"47","Bispebjerg",0,1,1,38,55.703823,12.521796,"S"
"48","Nørrebro",0,1,1,22,55.698002,12.545955,"S"
"49","Nørrebro",4.5,2,1,24,55.697439,12.544253,"S"
"50","Nørrebro",4.5,2,1,24,55.696899,12.542934,"S"
"51","Brønshøj-Husum",4.5,2,1,30,55.715404,12.478687,"S"
"52","Vanløse",0,4,1,24,55.684697,12.489555,"S"
"53","Østerbro",4.5,3,1,22,55.708424,12.563322,"S"
"54","Nørrebro",4.5,2,1,24,55.709335,12.554412,"S"
"55","Amager Vest",0,2,1,30,55.648935,12.577087,"S"
"56","Østerbro",4.5,3,1,30,55.710663,12.57659,"S"
"57","Nørrebro",4.5,1,1,21,55.699254,12.545971,"S"
"58","Nørrebro",5,1,1,41,55.696225,12.547734,"S"
"59","Vesterbro-Kongens Enghave",4,4,1,26,55.671778,12.549545,"S"
"60","Amager Øst",5,1,1,20,55.667718,12.615712,"S"
"61","Nørrebro",0,1,1,21,55.690693,12.543265,"S"
"62","Bispebjerg",5,1,1,22,55.707127,12.530957,"S"
"63","Nørrebro",5,1,1,23,55.688102,12.545483,"S"
"64","Bispebjerg",4.5,2,1,22,55.705078,12.532915,"S"
"65","Østerbro",4.5,2,1,22,55.70851,12.56263,"S"
"66","Valby",4.5,1,1,19,55.654343,12.51792,"S"
"67","Vesterbro-Kongens Enghave",4.5,1,1,22,55.645732,12.524966,"S"
"68","Vesterbro-Kongens Enghave",4.5,2,1,29,55.668403,12.549877,"S"
"69","Nørrebro",4.5,2,1,31,55.686052,12.549453,"S"
"70","Amager Vest",0,1,1,10,55.662346,12.596559,"S"
"71","Nørrebro",0,8,1,37,55.694672,12.535202,"S"
"72","Nørrebro",0,2,1,24,55.696599,12.54496,"S"
"73","Amager Vest",5,2,1,34,55.662356,12.594311,"S"
"74","Indre By",4,6,1,29,55.671914,12.576299,"S"
"75","Vesterbro-Kongens Enghave",4,4,1,26,55.671469,12.548346,"S"
"76","Amager Øst",5,3,1,28,55.664107,12.604952,"S"
"77","Vesterbro-Kongens Enghave",0,1,1,31,55.672094,12.551099,"S"
"78","Indre By",0,1,1,41,55.680137,12.569638,"S"
"79","Østerbro",4.5,1,1,22,55.708415,12.563181,"S"
"80","Vesterbro-Kongens Enghave",4.5,2,1,29,55.669129,12.550356,"S"
"81","Nørrebro",0,2,1,27,55.702401,12.541056,"S"
"82","Amager Øst",4.5,2,1,28,55.659768,12.609668,"S"
"83","Indre By",0,1,1,34,55.681448,12.582024,"S"
"84","Amager Vest",0,2,1,30,55.661567,12.585423,"S"
"85","Amager Vest",0,2,1,32,55.646556,12.613649,"S"
"86","Nørrebro",5,2,1,24,55.695769,12.543178,"S"
"87","Nørrebro",5,1,1,16,55.694368,12.540646,"S"
"88","Nørrebro",4,1,1,26,55.695156,12.539414,"S"
"89","Østerbro",0,1,1,11,55.708578,12.573751,"S"
"90","Østerbro",5,1,1,30,55.706572,12.583516,"S"
"91","Amager Øst",4.5,2,1,35,55.664355,12.608494,"S"
"92","Nørrebro",0,1,1,22,55.696618,12.543831,"S"
"93","Vesterbro-Kongens Enghave",0,7,4,170,55.672971,12.54806,"E"
"94","Indre By",0,6,3,720,55.685463,12.59465,"E"
"95","Amager Øst",5,7,3,162,55.658916,12.608834,"E"
"96","Vesterbro-Kongens Enghave",0,6,3,137,55.643106,12.53302,"E"
"97","Nørrebro",0,6,2,103,55.699684,12.53998,"E"
"98","Nørrebro",5,5,1,96,55.701874,12.549055,"E"
"99","Indre By",0,4,2,547,55.684045,12.583098,"E"
"100","Indre By",5,8,4,441,55.685089,12.566526,"E"
"101","Indre By",4.5,8,4,323,55.682564,12.573698,"E"
"102","Nørrebro",4.5,4,1,80,55.697692,12.546075,"E"
"103","Valby",0,6,3,588,55.674197,12.488799,"E"
"104","Østerbro",5,5,3,316,55.694108,12.572021,"E"
"105","Indre By",4.5,8,4,368,55.679826,12.604246,"E"
"106","Amager Vest",5,8,4,220,55.647056,12.608562,"E"
"107","Amager Øst",0,6,3,220,55.65479,12.629139,"E"
"108","Amager Vest",0,4,2,278,55.63404,12.583962,"E"
"109","Østerbro",0,5,4,206,55.713796,12.573741,"E"
"110","Amager Øst",4.5,6,3,206,55.660703,12.626203,"E"
"111","Vesterbro-Kongens Enghave",4.5,4,1,191,55.645444,12.551326,"E"
"112","Nørrebro",0,5,3,199,55.682592,12.55584,"E"
"113","Amager Vest",5,6,4,149,55.635089,12.58428,"E"
"114","Brønshøj-Husum",5,7,3,162,55.702583,12.483279,"E"
"115","Brønshøj-Husum",0,6,4,176,55.709644,12.508311,"E"
"116","Brønshøj-Husum",0,5,2,147,55.710331,12.508915,"E"
"117","Amager Vest",0,3,1,114,55.630736,12.574043,"E"
"118","Amager Vest",0,6,2,103,55.620844,12.572114,"E"
"119","Valby",5,3,1,73,55.667656,12.502775,"E"
"120","Bispebjerg",5,3,1,73,55.698725,12.528412,"E"
"121","Brønshøj-Husum",0,10,3,73,55.716273,12.509957,"E"
"122","Østerbro",4.5,3,0,60,55.707918,12.575272,"E"
"123","Valby",0,5,2,31,55.665349,12.494353,"E"
"124","Valby",0,3,1,1470,55.666493,12.51522,"E"
"125","Vanløse",0,10,6,955,55.689503,12.484729,"E"
"126","Vanløse",4.5,6,3,361,55.691405,12.488861,"E"
"127","Amager Vest",4.5,8,4,367,55.664328,12.575015,"E"
"128","Vesterbro-Kongens Enghave",0,8,2,323,55.667044,12.548709,"E"
"129","Nørrebro",0,2,1,50,55.691531,12.544434,"E"
"130","Nørrebro",4.5,3,2,44,55.697511,12.543572,"E"
"131","Bispebjerg",0,4,2,59,55.699991,12.527968,"E"
"132","Vanløse",0,4,1,58,55.70032,12.516456,"E"
"133","Bispebjerg",0,2,1,56,55.698191,12.528007,"E"
"134","Amager Vest",0,2,1,59,55.663589,12.597043,"E"
"135","Valby",0,3,1,30,55.654535,12.485628,"E"
"136","Østerbro",0,2,0,37,55.704797,12.581103,"E"
"137","Indre By",0,8,4,2204,55.685074,12.588997,"E"
"138","Amager Vest",0,5,2,8819,55.663038,12.585402,"E"
"139","Amager Vest",0,3,1,5115,55.66508,12.595452,"E"
"140","Østerbro",0,6,3,1470,55.698312,12.577913,"E"
"141","Vanløse",5,10,6,955,55.689787,12.486882,"E"
"142","Indre By",0,5,3,882,55.67773,12.605701,"E"
"143","Indre By",0,6,0,734,55.69425,12.612104,"E"
