"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"97","Indre By",4.5,3,1,151,55.6738,12.597611,"E"
"98","Amager Øst",0,8,4,151,55.65935,12.631351,"E"
"99","Vanløse",0,5,3,136,55.68774,12.478758,"E"
"100","Vanløse",0,4,3,129,55.682765,12.478342,"E"
"101","Valby",0,6,3,133,55.661723,12.522673,"E"
"102","Brønshøj-Husum",0,8,5,136,55.700155,12.48006,"E"
"103","Vesterbro-Kongens Enghave",0,6,3,141,55.643106,12.53302,"E"
"104","Valby",4.5,5,4,136,55.663784,12.510512,"E"
"105","Vesterbro-Kongens Enghave",0,4,3,141,55.652378,12.549019,"E"
"106","Brønshøj-Husum",5,8,5,129,55.70188,12.499809,"E"
"107","Brønshøj-Husum",0,8,4,136,55.709098,12.490992,"E"
"108","Nørrebro",4.5,5,2,129,55.68914,12.541965,"E"
"109","Amager Vest",0,6,3,136,55.644713,12.60913,"E"
"110","Amager Vest",4.5,6,3,109,55.619621,12.571634,"E"
"111","Amager Vest",5,5,2,106,55.635267,12.589168,"E"
"112","Amager Vest",0,3,1,121,55.616124,12.57208,"E"
"113","Amager Vest",4.5,4,2,106,55.616139,12.571997,"E"
"114","Valby",0,5,1,106,55.663718,12.481457,"E"
"115","Valby",0,5,2,113,55.6701,12.4892,"E"
"116","Vesterbro-Kongens Enghave",5,3,2,107,55.667564,12.550017,"E"
"117","Vesterbro-Kongens Enghave",5,4,2,113,55.666624,12.543965,"E"
"118","Amager Vest",0,3,1,106,55.658932,12.606815,"E"
"119","Valby",0,4,2,113,55.668455,12.510987,"E"
"120","Vanløse",0,6,2,106,55.693883,12.505848,"E"
"121","Amager Øst",0,2,1,106,55.664717,12.613944,"E"
"122","Bispebjerg",4,2,0,106,55.702515,12.528952,"E"
"123","Brønshøj-Husum",4.5,5,4,113,55.71503,12.465737,"E"
"124","Nørrebro",5,2,1,122,55.690117,12.565333,"E"
"125","Østerbro",5,2,2,122,55.70049,12.588716,"E"
"126","Østerbro",4.5,6,5,111,55.709546,12.565312,"E"
"127","Bispebjerg",0,4,1,122,55.719476,12.554282,"E"
"128","Østerbro",4.5,2,1,122,55.732203,12.566821,"E"
