"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"1","Brønshøj-Husum",4,4,1,35,55.719697,12.474984,"S"
"2","Bispebjerg",0,2,1,133,55.703851,12.524897,"S"
"3","Indre By",0,5,1,119,55.681343,12.583337,"S"
"4","Amager Vest",0,4,1,102,55.660497,12.604627,"S"
"5","Amager Vest",0,2,1,100,55.650305,12.611282,"S"
"6","Amager Vest",4.5,2,1,100,55.653784,12.563175,"S"
"7","Amager Vest",0,2,1,97,55.617897,12.572414,"S"
"8","Indre By",0,6,1,90,55.673855,12.573708,"S"
"9","Brønshøj-Husum",0,3,1,67,55.705616,12.510301,"S"
"10","Indre By",0,1,1,78,55.685823,12.587507,"S"
"11","Indre By",5,2,1,62,55.682,12.566173,"S"
"12","Amager Øst",0,3,1,73,55.66882,12.600052,"S"
"13","Nørrebro",0,4,1,67,55.695048,12.540888,"S"
"14","Vanløse",3.5,2,1,48,55.698651,12.523346,"S"
"15","Amager Vest",0,4,1,53,55.623245,12.585856,"S"
"16","Brønshøj-Husum",4.5,2,1,50,55.714648,12.460488,"S"
"17","Nørrebro",5,1,1,52,55.694764,12.546073,"S"
"18","Nørrebro",5,2,1,48,55.685038,12.551979,"S"
"19","Vanløse",0,1,1,44,55.690596,12.503066,"S"
"20","Vesterbro-Kongens Enghave",5,3,1,53,55.646012,12.535057,"S"
"21","Indre By",0,2,1,54,55.679568,12.590487,"S"
"22","Amager Vest",4.5,1,1,55,55.649558,12.609135,"S"
"23","Amager Vest",4.5,2,1,43,55.667396,12.596539,"S"
"24","Nørrebro",5,1,1,42,55.696225,12.547734,"S"
"25","Nørrebro",4.5,2,1,46,55.68223,12.555549,"S"
"26","Vesterbro-Kongens Enghave",0,2,1,53,55.669989,12.545857,"S"
"27","Vesterbro-Kongens Enghave",4.5,2,1,43,55.651255,12.555323,"S"
"28","Amager Vest",0,2,1,53,55.65787,12.567396,"S"
"29","Vesterbro-Kongens Enghave",4,4,1,26,55.671186,12.548267,"S"
"30","Vesterbro-Kongens Enghave",4,2,1,30,55.638349,12.542205,"S"
"31","Vesterbro-Kongens Enghave",0,4,1,26,55.670308,12.549589,"S"
"32","Vanløse",4.5,2,1,36,55.692104,12.475123,"S"
"33","Nørrebro",0,1,1,23,55.696081,12.542379,"S"
"34","Nørrebro",0,1,1,23,55.698209,12.54447,"S"
"35","Østerbro",4.5,2,1,23,55.70851,12.56263,"S"
"36","Nørrebro",0,1,1,23,55.697929,12.544093,"S"
"37","Nørrebro",4,2,1,23,55.695456,12.543835,"S"
"38","Nørrebro",4,2,1,25,55.698365,12.545374,"S"
"39","Vesterbro-Kongens Enghave",4.5,4,1,26,55.670603,12.548018,"S"
"40","Nørrebro",0,1,1,23,55.69725,12.544159,"S"
"41","Nørrebro",0,1,1,23,55.695407,12.542498,"S"
"42","Nørrebro",4.5,2,1,25,55.699336,12.544689,"S"
"43","Nørrebro",3.5,1,1,23,55.69765,12.54269,"S"
"44","Nørrebro",0,1,1,23,55.696618,12.543831,"S"
"45","Nørrebro",4.5,2,1,25,55.696899,12.542934,"S"
"46","Nørrebro",4.5,2,1,25,55.697249,12.542888,"S"
"47","Nørrebro",0,1,1,23,55.698002,12.545955,"S"
"48","Nørrebro",0,2,1,25,55.695769,12.543178,"S"
"49","Nørrebro",4,2,1,25,55.698093,12.545587,"S"
"50","Vanløse",0,4,1,24,55.684697,12.489555,"S"
"51","Brønshøj-Husum",4.5,2,1,30,55.715404,12.478687,"S"
"52","Nørrebro",4.5,2,1,24,55.709335,12.554412,"S"
"53","Nørrebro",4.5,2,1,31,55.686052,12.549453,"S"
"54","Østerbro",4.5,3,1,23,55.708424,12.563322,"S"
"55","Amager Vest",0,2,1,30,55.648935,12.577087,"S"
"56","Nørrebro",4.5,2,1,25,55.697439,12.544253,"S"
"57","Nørrebro",5,1,1,23,55.688102,12.545483,"S"
"58","Vesterbro-Kongens Enghave",4,4,1,26,55.671778,12.549545,"S"
"59","Nørrebro",0,1,1,21,55.690693,12.543265,"S"
"60","Amager Vest",5,1,1,23,55.659875,12.572522,"S"
"61","Bispebjerg",4,2,1,23,55.705078,12.532915,"S"
"62","Vesterbro-Kongens Enghave",4.5,1,1,23,55.645732,12.524966,"S"
"63","Bispebjerg",5,1,1,23,55.707127,12.530957,"S"
"64","Vesterbro-Kongens Enghave",4.5,2,1,30,55.668403,12.549877,"S"
"65","Amager Øst",5,1,1,21,55.667718,12.615712,"S"
"66","Østerbro",4.5,4,1,23,55.708403,12.563073,"S"
"67","Amager Vest",0,1,1,10,55.662346,12.596559,"S"
"68","Valby",4.5,1,1,19,55.654343,12.51792,"S"
"69","Nørrebro",0,2,1,25,55.696753,12.545297,"S"
"70","Amager Vest",5,2,1,34,55.662356,12.594311,"S"
"71","Indre By",4,6,1,29,55.671914,12.576299,"S"
"72","Vesterbro-Kongens Enghave",4,4,1,26,55.671469,12.548346,"S"
"73","Amager Vest",5,1,1,39,55.66265,12.598729,"S"
"74","Amager Øst",5,3,1,28,55.664107,12.604952,"S"
